Headlines,Date
The online retail giant is taking advantage of what it knows better than anyone: consumers’ online shopping habits.,2019/01/20
"The tech giant put “too much focus” on art-house fare, said Jennifer Salke, the head of Amazon Studios. It will now focus more on films for a broader audience, including “sexy date-night movies.”",2019/02/18
Candidates like Elizabeth Warren and Bernie Sanders were quick to praise New Yorkers who rebelled at the idea of giving tax breaks to a huge corporation.,2019/02/16
Allen says the streaming service improperly canceled a four-movie contract because of a renewed focus on sexual abuse allegations he has long denied.,2019/02/07
"New York was riveted by a debate over incentives offered to Amazon to build a headquarters. But Hudson Yards, the huge office and luxury residential development in Manhattan, has received far more.",2019/03/09
"A years-long battle over control of the domain name, which included promises of free Kindles, may soon be decided.",2019/04/18
"The clash has consequences beyond New York, going to the heart of a national debate likely to dominate the 2020 election: What is the best way to spread prosperity?",2019/02/16
Low-income workers seem to want Amazon in New York more than elites do. Amazon should figure out how to give them what they really need.,2019/02/13
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for July.",2019/07/01
"It isn’t just size. Unlike many big American companies, Amazon is not squandering its profits on stock buybacks.",2018/11/19
What details make the Amazon Go store different from a traditional grocery store?,2018/01/23
"The tech giant has moved its entertainment division into Culver Studios, a 14-acre site where “Gone With the Wind” was also filmed.",2018/04/18
"A bright blue (but not very bright) superhero pops up again, this time on Amazon Prime, where he stars in his third television series in 23 years.",2017/08/24
"We invite you to make a pitch to Amazon for its second headquarters, giving your choice of location, and your reasons.",2017/09/26
"The digital assistant confused a discussion about hardwood floors with several commands, in what Amazon called an “unlikely” string of events.",2018/05/25
"President Trump says Amazon costs the U.S.P.S. billions of dollars. But the available evidence is far less certain, and some of it suggests the opposite.",2018/04/04
"Numerous electronics brands have sprung up offering inexpensive gadgets. Here’s how Amazon enables them, and how other brands may copy that success.",2017/12/06
"This streaming series, inspired by the F. Scott Fitzgerald novel, stars Matt Bomer, Kelsey Grammer and Lily Collins.",2017/07/27
"President Trump renewed his attacks against Amazon on Saturday, claiming on Twitter that the Postal Service loses billions of dollars shipping packages for the online giant.",2018/03/29
"Humans will have to get used to their machine co-workers. But the robot next to you may not be ready to be your replacement. At least, not yet.",2018/03/18
"The president’s commentary, made in a Twitter post, comes amid reports that Mr. Trump has expressed an interest in reining in the e-commerce business.",2018/03/29
"Some of the most celebrated chefs in the Andes ventured deep into the Amazon on a quest for exotic ingredients. If the river turtle is too gooey, try the caiman.",2018/11/04
"The president calls the paper, which is owned by Amazon’s chief executive, Jeff Bezos, “a lobbyist weapon,” among other things. “There isn’t anybody here who is paid by Amazon,” the editor, Martin Baron, said.",2018/04/02
"The holiday season is in full swing. As you gather with family and loved ones, this month’s roundup highlights TV shows and movies for all to enjoy.",2018/12/01
"Walmart’s deal for Flipkart, one of the largest and riskiest in its history, follows a pattern of purchases over the past 18 months as it expands its footprint beyond box stores.",interactiv
The company also said it would raise the price of its popular Prime membership service to $119 from $99.,2018/04/26
Booksellers on the online marketplace are charging thousands for books that normally sell for a few dollars. Authors are perplexed — and annoyed.,2018/07/15
"The technology inside Amazon’s new convenience store, opening Monday in downtown Seattle, enables a shopping experience like no other — including no checkout lines. ",2018/01/21
His administration has come down on opposite sides of arguments about whether to enact internet sales taxes.,2018/05/10
It has been six months since Amazon took over Whole Foods for $13.4 billion. Here are a handful of notable changes Amazon has made to Whole Foods so far. ,2018/03/01
"The e-commerce giant, while mulling 20 finalists for its second headquarters, has kept up a “blistering” pace of expansion for technology jobs and fulfillment centers.",2018/05/01
"In response to new sales tax rules, the company will redirect users in Australia from amazon.com to amazon.com.au. Some fear they will see less choice and higher prices.",2018/05/31
Here’s what you need to know to start your day.,2018/08/23
"After Amazon’s bold threat to curtail development in its hometown, the Seattle City Council approved a smaller tax than originally envisioned. Amazon says it’s still “apprehensive” about the future.",2018/05/14
"Maya Rudolph and Fred Armisen play a couple stuck in a routine, in an Amazon series that is anything but that.",2018/09/12
"Technology firms have built systems that governments find attractive, but staff at those companies are less enthusiastic about sharing their know-how.",2018/06/22
Here’s what you need to know at the end of the day.,2018/09/04
The decision by the Salesforce chief executive Marc Benioff to buy Time magazine raises the question of the duty that executives have to the companies that made them rich.,2018/09/18
"For one shop owner in Brooklyn, it’s about outlasting your competition, staying on-trend, customer loyalty, and living your passion. In his case, that’s ballroom dancing, located on the second floor.",2018/09/13
"The move, offering memberships for $5.99 a month instead of $12.99, expands an effort to attract more shoppers with low incomes, who favor Walmart.",2018/03/07
"“Calibre,” Netflix’s Scottish thriller, is a movie you can pause, but you’re not going to want to. Damon Packard‘s films on Amazon are unsettling.",2018/07/20
"In seeking a home for its second headquarters, Amazon winnowed a list of 238 candidates to 20 finalists, including Atlanta, Nashville and Miami.",video/us/1
Amazon announced on Monday that it has retained the rights to adapt J.R.R. Tolkien’s “Lord of the Rings” for television for its Prime streaming service.,2017/11/13
"After “The Handmaid’s Tale” made it a player, Hulu has another ambitious show in “The Looming Tower.” But merger mania makes for a murky future.",2018/02/25
"This three-part mini-series, debuting Friday on Amazon, stars Hugh Grant as a closeted British politician who conspires to murder his former lover.",2018/06/28
"With 218 places missing the cut for Amazon’s second headquarters, cities like Ottawa and Tucson were left to absorb the same result as “the longest of long shots.”",2018/01/19
"A month after announcing it was closing 63 stores, Walmart’s warehouse club said it would offer free shipping on almost all items for a $100 annual fee.",2018/02/14
"Thousands of Indian sellers have shipped bedding, jewelry, kitchenware and clothing to Amazon warehouses to serve bargain-hunting Americans.",2017/11/26
"The studio canceled “One Mississippi,” “I Love Dick” and “Jean-Claude Van Johnson” and will turn its focus to a “Lord of the Rings” adaptation.",2018/01/18
"Amazon doesn’t have a plan to fix health care, but it loves that we’re talking about it. Facebook has a plan to fix the social network, but people may spend less time on it.",2018/02/02
"The Senate has tapped a vocal critic of Amazon, State Senator Michael Gianaris of Queens, to sit on a state board that could kill the deal.",2019/02/04
A key document from New York City’s bid for the company’s second headquarters disappeared from a city website. But we found it anyway.,2018/12/18
"The company, long accustomed to deferential treatment from localities, badly misjudged how it would be received in the city, according to dozens of interviews.",2019/02/15
"Gov. Andrew M. Cuomo called the deal’s collapse “the greatest tragedy” for New York, and he put the blame on Senate Democrats.",2019/02/22
Economists have long criticized tax breaks to corporations; politicians and the public may be starting to share their skepticism.,2019/02/14
The sites — dozens in more than 20 states — are shutting down even as Amazon is otherwise expanding its physical retail presence with stores like Amazon Go and Whole Foods.,2019/03/06
The company is looking to improve its relationships in the city after the mostly disastrous rollout of its plans for a corporate campus in Queens.,2019/01/29
"Our shopper visits the new Amazon 4 Star store, which stocks items with customer review ratings of four stars or better. Brick and mortar never had it so rough. ",2018/11/28
"In terms of economic, political and cultural impact, the finance industry dominates. But tech is gaining fast, and is where much of the growth is.",interactiv
New Yorkers who expected better bought into the myth that tech companies are more than just self-interested businesses.,2019/02/15
"A rundown of a troubled deal. Also, the Guardian Angels get into the clothing business.",2019/02/11
A billboard blamed Representative Alexandria Ocasio-Cortez for Amazon’s decision to exit New York; she blamed wealthy right-wing types for the ad.,2019/02/21
Crystal City in Virginia and Long Island City in Queens are about to become home to an internet giant. They will probably never appear the same again.,2018/11/15
Readers worry about how the two locations chosen might be changed for the worse by the arrival of the retailer. ,2018/11/13
"Tuesday: Two-thirds of voters said the company’s withdrawal from a Queens campus was bad for the state, and over a third blamed the congresswoman for it.",2019/03/19
Two Amazon executives faced jeers and pointed questions during three hours of testimony at a hearing about the plan to build a new outpost in Queens.,2018/12/12
Amazon’s planned headquarters has jacked up interest and prices in Long Island City.,2018/12/27
"The internet retailer took 14 months to decide on a second headquarters. Surprise! There will be two of them, and skeptics have plenty to chew on.",2018/11/16
"Once a leader in protecting the region’s vast forests, Brazil is now moving in the opposite direction. ",2018/09/26
A city that thrives on the energy of its neighborhood merchants should not offer incentives and giveaways to an internet giant known for squashing small businesses.,2018/11/09
"The live stage production of “Girls & Boys” will come to the Minetta Lane Theater in June, and Ms. Mulligan’s performance will be recorded for an audio play.",2018/04/30
"Cities used to be tied to geography: a river, a port, the lee side of a mountain range.",2017/10/20
"Quotation of the Day for Saturday, January 27, 2018.",2018/01/26
Mr. Bezos is the world’s richest person and can afford virtually any luxury. But obscurity is no longer among them.,2018/01/12
The ruling comes amid a fight between conservationists and President Michel Temer over environmental protections and indigenous rights.,2017/08/30
This week’s Canada Letter explores Canada’s reckoning with sexual harassment and introduces another episode of On the Market in Toronto.,2018/02/02
"Amazon is on the forefront of automation, finding new ways of getting robots to do the work once handled by human employees.",2017/09/10
"For Seattle, Amazon has become far more than a big employer and taxpayer.",2017/11/16
"The applications from 238 places contained valuable information, like potential tax breaks, that the company can use for other projects.",2018/01/28
"The e-commerce giants are spending billions in new markets like Southeast Asia and India to tap a rising new class of young, middle-class shoppers.",2017/10/22
Here’s what you need to know to start your day.,2018/09/05
"Friday: Tech giants talk expansion, and two columnists sign off.",2018/11/09
"With a single scholarly article, Lina Khan, 29, has reframed decades of monopoly law.",2018/09/07
"Amazon says it will offer more than a million deals, including discounts on Echo devices, kitchen appliances and more — and extend the sale by an extra six hours compared with last year. ",2018/07/17
"Betsy Gotbaum, a former New York City public advocate, writes of “the need for major campaign finance reform at the state level.” Also: The Amazon rain forest.",2019/08/04
Readers view the president’s remarks as a threat to the free press and hypocritical.,2018/03/30
Here’s what you need to know at the end of the day.,2018/11/07
Here’s what you need to know to start your day.,2018/07/27
"The Seattle City Council repealed the tax in a 7-to-2 vote that was accompanied by acrimony and accusations. Less than a month ago, it had passed unanimously.",2018/06/12
The Hollywood Reporter has created a two-year training program that aims to increase the number of movie and television executives of color.,2018/12/04
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for March.",2019/03/01
"For a minimum investment of $10,000, people in the United States will be able to open and manage their own start-ups to deliver Amazon packages.",2018/06/28
A case study in the problems with American antitrust policy over the past 40 years.,2018/05/07
Opening a rain forest reserve to commercial mining is a dangerous setback in the effort to protect the world’s largest forest.,2017/09/18
Fierce criticism of the American agricultural giant shows how companies that fall short of ambitious commitments can quickly anger advocacy groups.,2019/07/29
"The states offered tax credits, rebates and other incentives to lure the online retail giant and 25,000 jobs. Neighboring states offered even more.",2018/11/13
Some Amazon shareholders say the technology raises privacy concerns. The company joins other big tech firms coming under increasing scrutiny for their government work.,2018/06/19
"Google and Facebook are struggling to catch up with Twitch, a service that Amazon bought four years ago for $1.1 billion.",2018/06/17
"Winning the contest could mean a steeper increase in local housing costs over the next decade, a study finds. Nashville is already contemplating the impact.",2018/04/25
Amazon Prime’s reboot of the Tom Clancy spy hero is still a Boy Scout and he’s still determined to save the world the American way.,2018/08/30
"This week’s newsletter examines the urge to resist outsiders, from the bookish left and the populist right.",2017/10/25
"Isa Hackett, of “The Man in the High Castle,” goes public with her story of lewd propositions she says Roy Price made toward her in 2015.",2017/10/12
"Readers make pitches for the city it should pick for its second headquarters. But a Seattle reader cautions, “Be careful what you wish for.”",2017/09/30
"With universities, an international airport and lots of space, the New Jersey city says it is the perfect location for the online retailer’s second headquarters.",2017/10/16
Officials and business leaders across North America are going to extreme lengths to court Amazon to put its second headquarters in their city.,2017/09/25
Amazon’s original-programming division was already considering a change in strategy before the accusation against its top executive.,2017/10/17
"With permission, Amazon’s couriers in many cities will unlock homes and drop packages inside. Other companies are trying similar tactics.",2017/10/25
"After years of relying on a no-frills lobbying operation, Amazon is spreading its message far and wide in the nation’s capital.",2017/10/15
"Amazon’s handling of accusations of sexual harassment involving Roy Price, who ran its movie and television operations, has set off confusion, debate and finger-pointing.",2017/10/20
"The company would help itself, and the country, by putting its new headquarters outside of the Northeast, the West Coast or Chicago.",2017/09/08
"Under pressure from small merchants, the Indian government is prohibiting Amazon and Walmart from selling products on their own sites.",2019/01/30
"The city has what the company wants, talent. Why pay them $1.5 billion to come?",2018/11/14
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for June.",2019/05/31
"My dad was a longtime labor activist. He despises what Jeff Bezos built, but he can’t quit it. ",2018/12/08
"The next president of Brazil may shape the destiny of the Amazon, which is vital to reining in climate change. The stakes for the planet are huge.",2018/10/17
"The e-commerce giant uses its headquarters city as a living laboratory, trying out new retail and logistics models.",2018/09/23
The retailer is now making its own server chips. It’s the latest sign that big internet outfits are willing to cut out longtime suppliers.,2018/12/10
"With the acquisition of a leading business software company, IBM is presenting itself as an open, impartial player in the cloud computing industry.",2019/07/09
"Labor organizers and researchers said they had not heard of Amazon previously coming to the table after worker pressure, even for private discussions.",2018/11/20
Here’s what you need to know.,2019/02/15
"Researchers identified 2,312 illegal mining sites in six nations, and highlighted their toxic effects. Activists fear that Brazil’s new president will encourage even more mining.",2018/12/10
The governor of New York has called Mr. Bezos and other Amazon executives to persuade them to resurrect their plan to build a campus in Long Island City.,2019/02/28
A preview of the film.,video/embe
Is it O.K. to shop on Amazon for everything and still not want one of the world’s richest companies to invade Queens?,2018/11/14
"The battle over Amazon’s New York plans resurfaced tensions among unions over how to deal with Uber, Airbnb and other emerging giants.",2019/02/22
"The company is compensating for slowing growth in e-commerce by expanding its fast-moving, highly profitable cloud and advertising businesses.",2019/01/31
The Amazon series based on Michael Connelly’s Los Angeles detective novels returns for a fifth season of unadorned police work.,2019/04/19
Amazon’s power is even more pronounced in the nail-biter sprint toward Christmas. A two-decade obsession with delivery speed has given it a huge edge.,2018/12/21
"The designer on bongs, white jeans and his new get-it-quickly collection, Now House.",2018/11/14
State Senator Michael Gianaris was nominated to a state board that could vote to scuttle a deal to bring Amazon to his district in Queens.,2019/02/05
"Amazon announced more than a dozen devices and tools for its Alexa voice assistant, including a microwave.",2018/09/20
"The city and state sent loads of data to Amazon during its search for a new headquarters, offering a peek into the valuable information the company collected during the process.",2018/12/12
The governor and mayor have been aggressively selling their deal to bring Amazon to New York. But local lawmakers and others critics aren’t budging.,2018/11/20
A lawsuit exposes how unnerved major insurers are by the Big Three’s new venture into health care benefits.,2019/02/01
"Smart home devices will tell you the weather and answer trivia questions, sure, but they can do so much more. Try these tips to streamline your day, relax a little or just have some fun.",2018/09/19
"This week alone, the e-commerce giant made news in pharmaceuticals, supermarket pricing and deliveries.",2018/06/29
"In Amazon’s thriller, Julia Roberts plays a counselor for war veterans who starts to question who her research is really meant to help.",2018/10/31
Here’s what you need to know at the end of the day.,2018/11/06
Here’s what you need to know at the end of the day.,2018/11/13
"Ms. Glen, a former Goldman Sachs executive, had been in charge of major initiatives to expand and preserve affordable housing in New York City.",2018/12/19
A preview of the film.,video/embe
A six-episode series on Amazon retells a tale of Victorian-era repression and vanishing Australian schoolgirls.,2018/05/24
"Most third-party sellers on Amazon do not collect sales tax. States, thirsty for the millions of dollars in unpaid revenue, are coming for the money.",2017/11/15
"While Amazon appears interested in exploring the pharmacy business, the questions are when they would make the move, and in what direction.",2017/10/27
"The shopping site keeps a record of the products you browse in the hope you’ll return to close the deal, but you can turn off the tracking.",2017/10/19
"New York, Boston and Dallas are still vying to host Amazon’s second headquarters. But Detroit is out of the running.",2018/01/18
The proposed Whole Foods acquisition might lower prices in the short run but will definitely create an unhealthy concentration of market power.,2017/06/21
"Every month, subscription streaming services add a new batch of movies and TV shows to their libraries. Here are the titles we like for May.",2018/05/01
"President Trump abruptly issued an order demanding an evaluation of the service’s finances, asserting the power of his office weeks after accusing Amazon of not paying its fair share in postage.",2018/04/12
"Tech firms, military contractors, carmakers, cellphone companies, financial firms, sports leagues and Wall Street giants are all in his Twitter cross hairs.",2018/04/03
The online retailer is moving in. Booksellers are nervous. But disrupting Australians’ reading habits might not be so easy to do.,2017/10/19
The Emmy-winning TV creator talks about his return to television with “The Romanoffs” and addresses a harassment allegation.,2018/10/03
Amazon has been aggressively recruiting Indian vendors to sell their goods directly on the e-commerce giant’s American site.,/slideshow
The e-commerce giant announced a short list of places that could become home to its second headquarters. The process has garnered the kind of enthusiasm normally reserved for bids to host the Olympics.,2018/01/18
"Among the factors that will affect where the company chooses to put its new headquarters: cost, diversity, universities — and coffee roasters.",2017/10/26
"The retail giant started off with a modest product offering, seeking to steal a piece of Australia’s retail sector.",2017/12/04
"Dr. Atul Gawande, a Harvard professor, surgeon and writer, will lead the initiative formed to provide health care for the companies’ employees.",2018/06/20
"The internet retailer used an annual conference to show how machine learning will spur growth at Amazon Web Services, its most profitable business.",2017/11/29
"The museum said it was “deeply concerned” that the event it is hosting will honor Brazil’s president, whose environmental policies have drawn criticism.",2019/04/12
"A couple’s start-up takes online orders and delivers milk, eggs, meat and other products, including their own, across stretches of northeastern Pennsylvania. We rode along.",2018/04/10
"The purchase of PillPack, an online pharmacy, is the latest sign of Amazon’s increasing interest in health care.",2018/06/28
Cornell Tech’s graduates and researchers are behind more than 50 start-ups that have raised $60 million from investors and created 200 jobs.,2018/12/17
"With civil liberties groups raising privacy concerns, the city decided to end a pilot program using Amazon Rekognition technology in the Police Department.",2018/06/25
"There were tax breaks. Ads on Seattle buses. Amazon latte art. And, finally, fading hope that the e-commerce giant would be coming to town.",2018/11/06
Welcome to the first edition of With Interest — the most important business and tech news of this week and next.,2018/11/10
The streaming service looks to add to its slate of original programming with the Oscar-winning writer and director of “Get Out.”,2018/06/05
The Amazon deal finally becomes official. We tell you what it means for New York.,2018/11/14
Here’s what you need to know to start your day.,2018/09/04
"Amazon has transformed the way Americans buy products as different as books and diapers, but with drugs, it will need to work with powerful entrenched players. ",2018/07/02
Economists agree on one thing: Politicians shouldn’t attack specific companies based on their own whims or preferences,2018/05/18
"After community backlash, Amazon has decided not to move forward with its plan to open a headquarters in Long Island City, Queens. Here’s a look at what happened.",video/nyre
"The financial details of the split are sure to be complicated, though the world’s richest man and his wife of 25 years vow to “remain cherished friends.”",2019/01/09
"Amazon and opponents of its new offices appeared to raise the specter that the deal that would bring 25,000 jobs to Queens is not yet finalized.",2019/01/30
"Support for scrutiny of the tech giants is coming from across the political spectrum. For Google and Amazon, any investigations would be a major distraction, or worse.",2019/06/02
"“Where there is indigenous land,” newly elected President Jair Bolsonaro has said, “there is wealth underneath it.”",2018/11/10
Sometimes it’s worth pausing to ask the simplest questions.,2019/06/04
And is President Trump actually good for the Republican Party?,2018/11/15
"Technology publications are asking pointed questions about the online retail company. And Apple had rare, surprising bad news about sales.",2019/01/04
"The retail behemoth is laying the groundwork to penetrate Brazil’s huge consumer market, analysts say. Success won’t come easy.",2018/12/27
It was supposed to be one of the biggest business projects in recent years in New York City.,2019/02/15
